1,01/22/2020,Anhui,Mainland China,01/22/2020 17:00,1,0,0
2,01/22/2020,Beijing,Mainland China,01/22/2020 17:00,14,0,0
3,01/22/2020,Chongqing,Mainland China,01/22/2020 17:00,6,0,0
4,01/22/2020,Fujian,Mainland China,01/22/2020 17:00,1,0,0
5,01/22/2020,Gansu,Mainland China,01/22/2020 17:00,0,0,0
6,01/22/2020,Guangdong,Mainland China,01/22/2020 17:00,26,0,0
7,01/22/2020,Guangxi,Mainland China,01/22/2020 17:00,2,0,0
8,01/22/2020,Guizhou,Mainland China,01/22/2020 17:00,1,0,0
9,01/22/2020,Hainan,Mainland China,01/22/2020 17:00,4,0,0
10,01/22/2020,Hebei,Mainland China,01/22/2020 17:00,1,0,0
11,01/22/2020,Heilongjiang,Mainland China,01/22/2020 17:00,0,0,0
12,01/22/2020,Henan,Mainland China,01/22/2020 17:00,5,0,0
13,01/22/2020,Hong Kong,Hong Kong,01/22/2020 17:00,0,0,0
14,01/22/2020,Hubei,Mainland China,01/22/2020 17:00,444,17,28
15,01/22/2020,Hunan,Mainland China,01/22/2020 17:00,4,0,0
16,01/22/2020,Inner Mongolia,Mainland China,01/22/2020 17:00,0,0,0
17,01/22/2020,Jiangsu,Mainland China,01/22/2020 17:00,1,0,0
18,01/22/2020,Jiangxi,Mainland China,01/22/2020 17:00,2,0,0
